Title,Company Name,Date,Location,Salary,Keywords Found
Data Analyst,Intetics,21 серпня 2024,"Київ, Львів, Краків (Польща), Варшава (Польща), Єреван (Вірменія)",,"Python, Pandas, Scikit-learn, R, SQL, Tableau, Power BI, MongoDB"
Workforce Analyst,Everstar,21 серпня 2024 miltech,Київ,,"R, Tableau, Power BI, Excel"
Consultant/Analyst of ERP systems (payroll),SMART business,21 серпня 2024,"Київ, віддалено",,"R, Power BI, Azure"
Senior Data Analyst,Smart Project,21 серпня 2024 GameDev,"Дніпро, Прага (Чехія), віддалено",,"Python, R, SQL, Tableau"
Data Analyst (OSINT),Osavul,21 серпня 2024 miltech,віддалено,,"Python, R, SQL, Excel"
BI Analyst,JatApp,21 серпня 2024,"Київ, за кордоном, віддалено",,"Python, R, SQL, Tableau, AWS"
Business/System Analyst (Senior),INFUSE,21 серпня 2024,віддалено,до $4500,"R, SQL, Tableau, Power BI, Excel, Google Sheets"
Data Analyst,Beetroot,21 серпня 2024,"Київ, Львів, Одеса, Івано-Франківськ, Кременчук, Полтава",,"R, Excel"
Research Data Analyst,Beetroot,21 серпня 2024,"Київ, Львів, Одеса, Івано-Франківськ, Кременчук, Полтава",,"R, Excel"
Marketing Analyst,HOLYWATER,21 серпня 2024,"Київ, за кордоном, віддалено",,"Python, R, SQL, Tableau"
Junior Analyst,Sense Bank,21 серпня 2024,Київ,,"R, SQL, Java"
Risk Analyst,Covery,21 серпня 2024,"Київ, за кордоном, віддалено",,"Python, R, Tableau, Power BI, Excel"
Викладач курсу Data Analyst,IT курси Prog Academy (ex. Prog.kiev.ua),20 серпня 2024,віддалено,,"Python, R, SQL, Tableau, Power BI, Excel"
Business Analyst,Edsson Ukraine LLC,20 серпня 2024,Київ,,R
Middle Business Analyst,MASCODE,20 серпня 2024,віддалено,$2000–2500,R
Data Analyst,GG.BET,20 серпня 2024,"Київ, за кордоном, віддалено",,"Python, R, SQL, Tableau, Power BI, Excel"
Business DATA analyst,UKRSIBTECH,20 серпня 2024,"Київ, віддалено",,"R, SQL, Tableau, Power BI, Excel"
Data Analyst,Avenga,20 серпня 2024,"Київ, Харків, Львів, Вінниця, Івано-Франківськ, Луцьк, Полтава, Хмельницький, Черкаси, Гданськ (Польща), Краків (Польща), Варшава (Польща), Вроцлав (Польща), віддалено",,"R, SQL"
System Analyst,LIGA ZAKON,20 серпня 2024,"Київ, віддалено",,"R, SQL"
Senior/Middle Data Analyst (Arbitrage),UPSTARS,20 серпня 2024,"Київ, Варшава (Польща), віддалено",,"Python, R, SQL, Tableau"
Trainee Business Analyst,Smartworkers,20 серпня 2024 Перша робота,віддалено,$300–500,R
"Trainee Business Analyst (Individual Training, BA Internship)",SysGears,20 серпня 2024 Перша робота,"Львів, Дніпро, віддалено",,R
Business Analyst,AMO,20 серпня 2024,Київ,,R
Senior Business Analyst,Atwix,20 серпня 2024,за кордоном,,"R, Excel"
Business Analyst,Memcrab,20 серпня 2024,"Вінниця, віддалено",до $2500,R
Middle Business Analyst,MODUS X,20 серпня 2024,"Київ, віддалено",,R
Strong Middle/Senior IT Process Business Analyst (IT PMO),ПриватБанк,20 серпня 2024,віддалено,,R
IT Middle Business Analyst,ПриватБанк,20 серпня 2024,віддалено,,R
Consultant/Analyst of ERP systems (finance),SMART business,19 серпня 2024,"Київ, віддалено",,"R, Power BI, Azure"
Data Analyst,SBC Digital,19 серпня 2024,"Прага (Чехія), віддалено",$1500–2000,"Python, R, SQL, Excel"
Data Analyst,OBRIO,19 серпня 2024,"Київ, Варшава (Польща), віддалено",,"Python, Pandas, R, SQL, Tableau"
System Analyst,Sense Bank,19 серпня 2024,"Київ, Дніпро, віддалено",,"R, SQL, Java"
Бізнес-аналітик для впровадження Інтегрованої інформаційної системи «Геоінформаційна система Містобудівний кадастр державного рівня»,Фонд Східна Європа,19 серпня 2024,Київ,,
Фінансовий менеджер/аналітик,Око Камера,19 серпня 2024 miltech,Київ,,R
Junior+ Market Analyst,AltexSoft,19 серпня 2024,віддалено,,R
Middle Business Analyst (Реєстри МВС),"""ІНФОТЕХ""",19 серпня 2024 govtech,Київ,,"R, SQL, PostgreSQL"
Business Analytics,Фонд Східна Європа,19 серпня 2024,Київ,,R
Financial Analyst in Business Intelligence Team,ZONE3000,19 серпня 2024,віддалено,,"Python, R, SQL, Tableau, Power BI, Excel"
Strong Middle/Senior Business Analyst,Sigma Software,19 серпня 2024,"за кордоном, віддалено",,"R, Excel"
Data Business Analyst,MODUS X,19 серпня 2024,Київ,,"Python, R, SQL, Power BI"
Senior Business Analyst (SK-3024),Pwrteams,19 серпня 2024,"Київ, Львів, віддалено",,"R, Excel"
Financial Analyst,Improvs,19 серпня 2024,віддалено,,"R, Excel, Google Sheets"
System Analyst (ID 000125),OTP Bank Ukraine,19 серпня 2024 бронювання,"Київ, віддалено",,"R, SQL"
Business Analyst,Artkai,19 серпня 2024,віддалено,,"R, Java, Excel"
Бізнес-аналітик (WEB та APP),MOYO,19 серпня 2024,віддалено,,R
Data Lead & Modeler,Nestlogic,19 серпня 2024,"Київ, Вінниця, віддалено",,"R, SQL, Scala, Excel"
"Data Scientist/Researcher/Analyst (віддалено, part-time, вся Україна)",Intego Group,19 серпня 2024,"Київ, Харків, віддалено",,"Python, R"
Business Analyst,MODUS X,19 серпня 2024 бронювання,"Київ, віддалено",,R
Senior/Middle Business Analyst,Nova Digital,19 серпня 2024,"Київ, віддалено",,R
Financial Analyst,ДЗЕН,19 серпня 2024,віддалено,,"R, Excel, Google Sheets"
Financial Analyst (Kiss My Apps),Kiss My Apps,19 серпня 2024,віддалено,,"R, SQL, Power BI, Excel"
Junior Product Analyst,appflame,19 серпня 2024,Київ,,"Python, R, SQL, Tableau"
Lead Business Analyst/Product Manager (#2082),N-iX,19 серпня 2024,"Київ, Львів, Дніпро, Вінниця, Івано-Франківськ, Тернопіль, віддалено",,"R, Excel"
Senior Data Analyst (#2094),N-iX,19 серпня 2024,"Київ, Львів, Дніпро, Вінниця, Івано-Франківськ, Тернопіль, віддалено",,"Python, Pandas, R, SQL, Tableau, Excel"
Senior Business Analyst (#2031),N-iX,19 серпня 2024,"Київ, Львів, Дніпро, Вінниця, Івано-Франківськ, Тернопіль, віддалено",,"R, Excel"
Бізнес Аналітик (ID 000137),OTP Bank Ukraine,19 серпня 2024,"Київ, віддалено",,"R, SQL"
Business Systems Analyst (HRMS project),Uklon,19 серпня 2024,"Київ, віддалено",,R
Junior Operational Analytics Specialist,Solidgate,17 серпня 2024 Перша робота,Київ,,"R, SQL, Tableau, Excel"
System/Business Analyst,Solidgate,17 серпня 2024,"Київ, віддалено",,"R, SQL"
Junior Business Operations & Analytics Specialist,Solidgate,17 серпня 2024 Перша робота,Київ,,"R, SQL, Tableau, Excel"
Business Analyst,Nextcode.Tech,16 серпня 2024,"за кордоном, віддалено",,"R, Excel"
Analytics Lead,Growe,16 серпня 2024,Варшава (Польща),,"Python, Pandas, NumPy, Matplotlib, Scikit-learn, R, SQL, Tableau, Excel"
Product Analyst (Marketing),MacPaw,16 серпня 2024,"Київ, віддалено",,"Python, R, SQL, Java, Tableau, Power BI"
Data Analyst,Transparency International Ukraine,16 серпня 2024,"Київ, віддалено",,"R, SQL"
Data Analyst,UPSTARS,16 серпня 2024,"Варшава (Польща), віддалено",,"Python, R, SQL, Tableau"
Business Analyst,SmartHub,16 серпня 2024,Київ,,R
Senior BA with BI reporting experience,Intellias,16 серпня 2024,,,"R, SQL, Excel, AWS"
Middle Product Analyst,HOLYWATER,16 серпня 2024,"Київ, віддалено",,"Python, R, SQL, Tableau, AWS"
Бізнес-аналітик проєктів електронного документообігу,KERNEL,16 серпня 2024,Київ,,
Data Analyst,Performics Ukraine,16 серпня 2024,Київ,,"Python, R, SQL, Java, Power BI, Excel"
Junior Marketing Data Analyst,Lift.,16 серпня 2024,Київ,,"Python, Pandas, NumPy, Matplotlib, R, SQL, Tableau, Power BI"
Junior Product Analyst,appflame,16 серпня 2024,Київ,,"R, SQL, Tableau"
Technical Support / Software Support Analyst,AXDRAFT,16 серпня 2024,"Київ, віддалено",,"Python, R, Java, Excel"
Support Analyst (FinTech),Boovatech,15 серпня 2024,"Київ, за кордоном, віддалено",,"R, SQL, Excel"
Data Analyst,SoftPositive,15 серпня 2024,віддалено,$1500–3000,"Python, R, SQL, Java, Power BI, Excel, Spark, AWS"
Product Development Engineer (Fixed-term contract),Renesas Electronics Corp.,15 серпня 2024,"Львів, віддалено",,R
Data Analyst / Data Scientist,Jooble,15 серпня 2024,"Київ, Луцьк, віддалено",,"Python, Pandas, NumPy, R, Hadoop, PyTorch, Spark"
Middle+ Business Analyst,Raccoon Gang,15 серпня 2024,віддалено,,"R, Excel"
Senior BI specialist,Centro team,15 серпня 2024,"Лімасол (Кіпр), віддалено",,"Python, Pandas, NumPy, Seaborn, R, SQL, Tableau"
Business analyst,Rich Media Systems,15 серпня 2024,віддалено,,"R, Excel"
Salesforce FSC Business Analyst,Livatek,15 серпня 2024,"за кордоном, віддалено",,R
It Business Analyst,Mobilunity,15 серпня 2024,"Київ, віддалено",,"R, Excel"
Business Analyst,Axon,15 серпня 2024,"Краків (Польща), віддалено",$1700–2200,"R, Excel"
Системний аналітик (Data Warehouse),Nova Digital,15 серпня 2024,Київ,,"R, SQL"
Commercial analyst (SQL),Kyivstar,14 серпня 2024,Київ,,"R, SQL, Excel"
Аналітик 1С,CFG,14 серпня 2024,віддалено,,"SQL, Excel"
Business Analyst (бізнес-аналітик),HOTLINE.FINANCE,14 серпня 2024,Київ,,R
Бізнес-аналітик,YASNO,14 серпня 2024,"Київ, віддалено",,"R, Azure"
Lead Penetration Test Engineer / Threat Analyst (m/f/d) (ID:1260),Infopulse,14 серпня 2024,"Київ, Львів, Одеса, Вінниця, Івано-Франківськ, Житомир, Бидгощ (Польща), Гданськ (Польща), Варшава (Польща), Лодзь (Польща), віддалено",,"R, SQL, Java"
Junior Research Analyst,Smart Team,14 серпня 2024 Перша робота,"Київ, віддалено",,"Python, R, SQL"
Business Analyst Creatio,MODUS X,14 серпня 2024,"Київ, віддалено",,R
Бізнес аналітик (HR-процеси),Добробут,14 серпня 2024 бронювання,Київ,від $1500,R
Business Analyst,VoIPTime,14 серпня 2024,Львів,,R
Senior Business Analyst,Tutorpeers,14 серпня 2024,віддалено,,R
HUMINT Analyst / Social Engineer,ACIR,14 серпня 2024 miltech бронювання,Київ,,
"Senior Product Engineer (Semiconductor Data Analysis, Production Support)",Renesas Electronics Corp.,13 серпня 2024,Львів,,"Python, R, Excel"
Data Analyst,Kyla,13 серпня 2024,віддалено,$2000–3500,"Python, R, SQL, Tableau, Excel"
Finance Analyst,SKELAR,13 серпня 2024,Київ,,"R, Tableau"
Senior Data Analyst (Data Vault),Globaldev Group,13 серпня 2024,"Одеса, Вінниця, Варшава (Польща), Краків (Польща), віддалено",,"R, Excel"
Busines Analist,Mticket,13 серпня 2024,Київ,,R
Project Manager\Business Analyst,ПриватБанк,13 серпня 2024,віддалено,,R
Junior system analyst,Intertop Ukraine,13 серпня 2024,Київ,,R
Marketing Analyst,newage.,13 серпня 2024,"Київ, віддалено",,"Python, Pandas, NumPy, R, SQL, Power BI, Excel, Google Sheets, PostgreSQL"
Data Analyst (Operations Research),TemaBit Fozzy Group,13 серпня 2024,"Київ, віддалено",,"Python, R, SQL, Tableau, Power BI"
Бізнес-аналітик Департаменту IT операцій,ПриватБанк,13 серпня 2024,віддалено,,R
Junior Operations Analyst,Solidgate,13 серпня 2024 Перша робота,Київ,,"Python, R, SQL, Tableau"
DeFi Investment Analyst,WhiteBIT,13 серпня 2024,"за кордоном, віддалено",,R
Аналітик комп’ютерних систем (SAP),OKKO Group,13 серпня 2024 бронювання,Львів,,R
Бізнес-аналітик (автоматизовані системи управління),OKKO Group,13 серпня 2024 бронювання,Львів,,R
Керівник департаменту аналітики в Бюро кредитних історій,Міжнародне бюро кредитних історій (МБКІ),13 серпня 2024,"Київ, віддалено",,"Python, R, SQL"
Business Analyst 1C,OKKO Group,13 серпня 2024 бронювання,Львів,,R
Провідний аналітик 1С,VIDI,13 серпня 2024 бронювання,Київ,$1400–1500,
Бізнес-аналітик,VIDI,13 серпня 2024 бронювання,Київ,$1050–1300,R
IT Business/System Analyst (Payments Team) RozetkaPay,EVO,13 серпня 2024,"Київ, віддалено",,"R, Scala"
Middle/Senior IT System Analyst,ПриватБанк,13 серпня 2024,віддалено,,"R, SQL"
Project Manager / Business Analyst,Perspective,13 серпня 2024,Київ,,R
data analyst,ESCA,13 серпня 2024,Дніпро,$900–950,"R, SQL, Excel"
marketing analyst,ESCA,13 серпня 2024,віддалено,$3000–3700,"R, SQL, Tableau, Excel"
Middle/Senior System Analyst,ПриватБанк,13 серпня 2024,віддалено,,"R, SQL, NoSQL, AWS"
Data Analyst,WhiteBIT,12 серпня 2024,за кордоном,,"R, SQL, Excel"
Data Analyst (Billing),Brainstack,12 серпня 2024,"Київ, віддалено",,"Python, R, SQL, Tableau, PostgreSQL, AWS"
Marketing Data Analyst,Brainstack,12 серпня 2024,Київ,,"Python, R, SQL, Tableau, PostgreSQL, AWS"
Marketing Analyst,Basenji Apps,12 серпня 2024,віддалено,,"Python, R, SQL, PostgreSQL"
Data Analyst,Basenji Apps,12 серпня 2024,віддалено,,"Python, R, SQL, PostgreSQL"
Middle Data Scientist,appflame,12 серпня 2024,Київ,,"Python, R, SQL, Tableau, XGBoost, AWS"
Strategy&Growth Analyst,appflame,12 серпня 2024,Київ,,"R, SQL, Excel"
Бізнес аналітик,Лінія магазинів EVA,12 серпня 2024,"Дніпро, віддалено",,SQL
Business Analyst (e-commerce),ArtPix 3D,12 серпня 2024,віддалено,,"R, Excel"
Senior/Middle Business Analyst (Logistics),ROZETKA,12 серпня 2024,Київ,,R
"Аналітик АБС Б2, Lead Analyst",Tallium Inc.,12 серпня 2024,"Київ, віддалено",,"R, SQL"
Аналітик загроз безпеки (OSINT),Association of Ukrainian Defense Manufacturers,12 серпня 2024 miltech бронювання,Київ,$1000–2000,
Business Data Analyst,VisiQuate,12 серпня 2024,"Харків, Львів, Краків (Польща), віддалено",,"R, SQL, Excel"
"Technical Business Analyst (Strong Junior, Middle)",Platon,12 серпня 2024,віддалено,,R
Senior System/Business Analyst,Onicore,12 серпня 2024,"Київ, за кордоном, віддалено",,"R, SQL"
Business Analyst/Project Manager,Academy SMART,12 серпня 2024,віддалено,$2500–3200,"R, Excel"
Financial Analyst,Phenomenon Studio,12 серпня 2024,віддалено,,R
Business analyst,RealTalk,12 серпня 2024,"Київ, віддалено",$800–2000,R
"Web Analyst (Poland, EU)",PIN-UP Global,12 серпня 2024,"Єреван (Вірменія), Варшава (Польща), Лімасол (Кіпр), Алмати (Казахстан)",,"R, SQL, Tableau, Power BI, Excel"
Middle Business Analyst,Kindgeek,12 серпня 2024,"Львів, віддалено",,"R, SQL"
Business Analyst [AI team],PIN-UP Global,12 серпня 2024,"Єреван (Вірменія), Варшава (Польща), Лімасол (Кіпр), Алмати (Казахстан)",,"Python, R, SQL, Tableau"
SEO Experimenter (SEO Analyst),EVOPLAY,12 серпня 2024,"Київ, за кордоном, віддалено",,"R, Java"
Системний Аналітик (AI Chatbots),GMS,12 серпня 2024,віддалено,,R
System/Business Analyst B2,Sense Bank,12 серпня 2024,"Київ, Дніпро, віддалено",,"R, SQL"
Junior Product Analyst,JatApp,12 серпня 2024,"Київ, за кордоном, віддалено",,"R, SQL, Tableau, Excel, Google Sheets"
Junior/Middle Data Analyst (wellbeing app),SKELAR,12 серпня 2024,"Київ, за кордоном",,"Python, R, SQL, Tableau, Excel, Google Sheets"
Data Analyst (Marketing),ZONE3000,12 серпня 2024,віддалено,,"Python, R, SQL, Tableau, Power BI, Excel"
Junior Business Analyst,COAX Software,12 серпня 2024,"Івано-Франківськ, віддалено",,"Python, R, AWS"
Product Analyst,Headway,12 серпня 2024,"Київ, за кордоном, віддалено",,"Python, R, SQL, Tableau"
Analytics Engineer (Poland only),VisiQuate,11 серпня 2024,"Краків (Польща), віддалено",,"R, SQL, Tableau, Power BI"
